1,2,3,4,5,6,7,8,9,,,,,,,,,,,
,,,2011," 1,750,176 ","+157,407    ",+9.88          ," 865,021 "," 885,155 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,628, Tirunelveli,1901," 982,363 ",-,-," 475,744 "," 506,619 ",,,,,,,,,,,
,,,1911," 1,061,965 ","+79,602    ",+8.10          ," 513,251 "," 548,714 ",,,,,,,,,,,
,,,1921," 1,154,547 ","+92,582    ",+8.72          ," 565,649 "," 588,898 ",,,,,,,,,,,
,,,1931," 1,242,552 ","+88,005    ",+7.62          ," 600,283 "," 642,269 ",,,,,,,,,,,
,,,1941," 1,376,604 ","+134,052    ",+10.79          ," 671,007 "," 705,597 ",,,,,,,,,,,
,,,1951," 1,547,268 ","+170,664    ",+12.40          ," 756,021 "," 791,247 ",,,,,,,,,,,
,,,1961," 1,677,309 ","+130,041    ",+8.40          ," 820,148 "," 857,161 ",,,,,,,,,,,
,,,1971," 1,972,220 ","+294,911    ",+17.58          ," 969,266 "," 1,002,954 ",,,,,,,,,,,
,,,1981," 2,203,462 ","+231,242    ",+11.72          ," 1,081,608 "," 1,121,854 ",,,,,,,,,,,
,,,1991," 2,481,880 ","+278,418    ",+12.64          ," 1,220,136 "," 1,261,744 ",,,,,,,,,,,
,,,2001," 2,703,492 ","+221,612    ",+8.93          ," 1,323,882 "," 1,379,610 ",,,,,,,,,,,
,,,2011," 3,077,233 ","+373,741    ",+13.82          ," 1,520,912 "," 1,556,321 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,629, Kanniyakumari,1901," 359,248 ",-,-," 179,954 "," 179,294 ",,,,,,,,,,,
,,,1911," 422,260 ","+63,012    ",+17.54          ," 212,212 "," 210,048 ",,,,,,,,,,,
,,,1921," 494,125 ","+71,865    ",+17.02          ," 249,389 "," 244,736 ",,,,,,,,,,,
,,,1931," 581,851 ","+87,726    ",+17.75          ," 291,992 "," 289,859 ",,,,,,,,,,,
,,,1941," 676,975 ","+95,124    ",+16.35          ," 339,835 "," 337,140 ",,,,,,,,,,,
,,,1951," 826,380 ","+149,405    ",+22.07          ," 417,371 "," 409,009 ",,,,,,,,,,,
,,,1961," 996,915 ","+170,535    ",+20.64          ," 503,735 "," 493,180 ",,,,,,,,,,,
,,,1971," 1,222,549 ","+225,634    ",+22.63          ," 619,884 "," 602,665 ",,,,,,,,,,,
,,,1981," 1,423,399 ","+200,850    ",+16.43          ," 716,958 "," 706,441 ",,,,,,,,,,,
,,,1991," 1,600,349 ","+176,950    ",+12.43          ," 803,839 "," 796,510 ",,,,,,,,,,,
,,,2001," 1,676,034 ","+75,685    ",+4.73          ," 832,269 "," 843,765 ",,,,,,,,,,,
,,,2011," 1,870,374 ","+194,340    ",+11.60          ," 926,345 "," 944,029 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,630, Dharmapuri,1901," 328,897 ",-,-," 163,144 "," 165,753 ",,,,,,,,,,,
,,,1911," 344,203 ","+15,306    ",+4.65          ," 170,874 "," 173,329 ",,,,,,,,,,,
,,,1921," 328,877 ","-15,326 ",-4.45 ," 164,190 "," 164,687 ",,,,,,,,,,,
