1,2,3,4,5,6,7,8,9,,,,,,
,,,1991," 1,337,026 ","+222,404    ",+19.95          ," 677,480 "," 659,546 ",,,,,,
,,,2001," 1,561,990 ","+224,964    ",+16.83          ," 790,036 "," 771,954 ",,,,,,
,,,2011," 1,801,733 ","+239,743    ",+15.35          ," 906,487 "," 895,246 ",,,,,,
,,,,,,,,,,,,,,
21,376,Mayurbhanj,1901," 610,383 ",                       --- ,                    --- ," 303,266 "," 307,117 ",,,,,,
,,,1911," 729,218 ","+118,835    ",+19.47          ," 362,570 "," 366,648 ",,,,,,
,,,1921," 754,314 ","+25,096    ",+3.44          ," 374,319 "," 379,995 ",,,,,,
,,,1931," 889,603 ","+135,289    ",+17.94          ," 442,378 "," 447,225 ",,,,,,
,,,1941," 984,741 ","+95,138    ",+10.69          ," 491,129 "," 493,612 ",,,,,,
,,,1951," 1,028,825 ","+44,084    ",+4.48          ," 514,051 "," 514,774 ",,,,,,
,,,1961," 1,204,043 ","+175,218    ",+17.03          ," 604,756 "," 599,287 ",,,,,,
,,,1971," 1,434,200 ","+230,157    ",+19.12          ," 721,914 "," 712,286 ",,,,,,
,,,1981," 1,581,873 ","+147,673    ",+10.30          ," 795,364 "," 786,509 ",,,,,,
,,,1991," 1,884,580 ","+302,707    ",+19.14          ," 952,183 "," 932,397 ",,,,,,
,,,2001," 2,223,456 ","+338,876    ",+17.98          ," 1,123,200 "," 1,100,256 ",,,,,,
,,,2011," 2,519,738 ","+296,282    ",+13.33          ," 1,256,213 "," 1,263,525 ",,,,,,
,,,,,,,,,,,,,,
21,377,Baleshwar,1901," 679,046 ",                       --- ,                    --- ," 328,774 "," 350,272 ",,,,,,
,,,1911," 669,624 ","-9,422 ",-1.39 ," 320,789 "," 348,835 ",,,,,,
,,,1921," 622,836 ","-46,788 ",-6.99 ," 296,827 "," 326,009 ",,,,,,
,,,1931," 630,857 ","+8,021    ",+1.29          ," 306,517 "," 324,340 ",,,,,,
,,,1941," 660,388 ","+29,531    ",+4.68          ," 326,320 "," 334,068 ",,,,,,
,,,1951," 658,742 ","-1,646 ",-0.25 ," 337,476 "," 321,266 ",,,,,,
,,,1961," 839,081 ","+180,339    ",+27.38          ," 428,929 "," 410,152 ",,,,,,
,,,1971," 1,091,230 ","+252,149    ",+30.05          ," 555,443 "," 535,787 ",,,,,,
,,,1981," 1,357,727 ","+266,497    ",+24.42          ," 690,808 "," 666,919 ",,,,,,
,,,1991," 1,696,583 ","+338,856    ",+24.96          ," 867,641 "," 828,942 ",,,,,,
,,,2001," 2,024,508 ","+327,925    ",+19.33          ," 1,036,511 "," 987,997 ",,,,,,
,,,2011," 2,320,529 ","+296,021    ",+14.62          ," 1,185,787 "," 1,134,742 ",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,378,Bhadrak,1901," 461,056 ",                       --- ,                    --- ," 223,229 "," 237,827 ",,,,,,
,,,1911," 454,658 ","-6,398 ",-1.39 ," 217,808 "," 236,850 ",,,,,,
,,,1921," 422,890 ","-31,768 ",-6.99 ," 201,538 "," 221,352 ",,,,,,
,,,1931," 428,337 ","+5,447    ",+1.29          ," 208,118 "," 220,219 ",,,,,,
,,,1941," 448,387 ","+20,050    ",+4.68          ," 221,563 "," 226,824 ",,,,,,
,,,1951," 447,270 ","-1,117 ",-0.25 ," 218,590 "," 228,680 ",,,,,,
,,,1961," 576,842 ","+129,572    ",+28.97          ," 288,411 "," 288,431 ",,,,,,
,,,1971," 739,274 ","+162,432    ",+28.16          ," 372,899 "," 366,375 ",,,,,,
,,,1981," 895,081 ","+155,807    ",+21.08          ," 448,547 "," 446,534 ",,,,,,
,,,1991," 1,105,834 ","+210,753    ",+23.55          ," 557,017 "," 548,817 ",,,,,,
,,,2001," 1,333,749 ","+227,915    ",+20.61          ," 675,642 "," 658,107 ",,,,,,
,,,2011," 1,506,337 ","+172,588    ",+12.94          ," 760,260 "," 746,077 ",,,,,,
,,,,,,,,,,,,,,
21,379,Kendrapara,1901," 459,224 ",                       --- ,                    --- ," 222,064 "," 237,160 ",,,,,,
,,,1911," 470,355 ","+11,131    ",+2.42          ," 223,895 "," 246,460 ",,,,,,
,,,1921," 457,135 ","-13,220 ",-2.81 ," 211,687 "," 245,448 ",,,,,,
,,,1931," 486,625 ","+29,490    ",+6.45          ," 230,445 "," 256,180 ",,,,,,
,,,1941," 509,546 ","+22,921    ",+4.71          ," 244,560 "," 264,986 ",,,,,,
,,,1951," 526,472 ","+16,926    ",+3.32          ," 258,329 "," 268,143 ",,,,,,
,,,1961," 649,457 ","+122,985    ",+23.36          ," 321,504 "," 327,953 ",,,,,,
,,,1971," 823,451 ","+173,994    ",+26.79          ," 409,537 "," 413,914 ",,,,,,
,,,1981," 981,219 ","+157,768    ",+19.16          ," 490,570 "," 490,649 ",,,,,,
,,,1991," 1,149,501 ","+168,282    ",+17.15          ," 572,703 "," 576,798 ",,,,,,
,,,2001," 1,302,005 ","+152,504    ",+13.27          ," 646,438 "," 655,567 ",,,,,,
,,,2011," 1,440,361 ","+138,356    ",+10.63          ," 717,814 "," 722,547 ",,,,,,
,,,,,,,,,,,,,,
21,380, Jagatsinghapur,1901," 385,140 ",                       --- ,                    --- ," 186,239 "," 198,901 ",,,,,,
,,,1911," 394,474 ","+9,334    ",+2.42          ," 187,775 "," 206,699 ",,,,,,
,,,1921," 383,388 ","-11,086 ",-2.81 ," 177,536 "," 205,852 ",,,,,,
,,,1931," 408,121 ","+24,733    ",+6.45          ," 193,269 "," 214,852 ",,,,,,
,,,1941," 427,344 ","+19,223    ",+4.71          ," 205,107 "," 222,237 ",,,,,,
,,,1951," 441,539 ","+14,195    ",+3.32          ," 215,209 "," 226,330 ",,,,,,
,,,1961," 522,197 ","+80,658    ",+18.27          ," 254,800 "," 267,397 ",,,,,,
,,,1971," 641,238 ","+119,041    ",+22.80          ," 317,974 "," 323,264 ",,,,,,
,,,1981," 791,717 ","+150,479    ",+23.47          ," 398,776 "," 392,941 ",,,,,,
,,,1991," 934,045 ","+142,328    ",+17.98          ," 472,536 "," 461,509 ",,,,,,
,,,2001," 1,057,891 ","+123,846    ",+13.26          ," 539,021 "," 518,870 ",,,,,,
,,,2011," 1,136,971 ","+79,080    ",+7.48          ," 577,865 "," 559,106 ",,,,,,
,,,,,,,,,,,,,,
21,381,Cuttack,1901," 816,086 ",                       --- ,                    --- ," 394,629 "," 421,457 ",,,,,,
,,,1911," 835,867 ","+19,781    ",+2.42          ," 397,883 "," 437,984 ",,,,,,
,,,1921," 812,372 ","-23,495 ",-2.81 ," 376,187 "," 436,185 ",,,,,,
,,,1931," 864,780 ","+52,408    ",+6.45          ," 409,522 "," 455,258 ",,,,,,
,,,1941," 905,515 ","+40,735    ",+4.71          ," 434,608 "," 470,907 ",,,,,,
,,,1951," 935,593 ","+30,078    ",+3.32          ," 470,989 "," 464,604 ",,,,,,
,,,1961," 1,131,236 ","+195,643    ",+20.91          ," 581,283 "," 549,953 ",,,,,,
,,,1971," 1,414,425 ","+283,189    ",+25.03          ," 726,630 "," 687,795 ",,,,,,
,,,1981," 1,719,771 ","+305,346    ",+21.59          ," 887,807 "," 831,964 ",,,,,,
,,,1991," 2,052,936 ","+333,165    ",+19.37          ," 1,068,345 "," 984,591 ",,,,,,
,,,2001," 2,340,832 ","+287,896    ",+14.02          ," 1,207,641 "," 1,133,191 ",,,,,,
