1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,1981," 922,491 ","+42,927    ",+4.88          ," 462,922 "," 459,569 ",,,,,,,,,,
,,,1991," 1,080,780 ","+158,289    ",+17.16          ," 545,460 "," 535,320 ",,,,,,,,,,
,,,2001," 1,233,945 ","+153,165    ",+14.17          ," 619,302 "," 614,643 ",,,,,,,,,,
,,,2011," 1,502,338 ","+268,393    ",+21.75          ," 749,385 "," 752,953 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,369,Saraikela-Kharsawan,1901," 190,062 ",                     -----,        -----," 93,834 "," 96,228 ",,,,,,,,,,
,,,1911," 212,210 ","+22,148    ",+11.65          ," 104,474 "," 107,736 ",,,,,,,,,,
,,,1921," 224,453 ","+12,243    ",+5.77          ," 112,010 "," 112,443 ",,,,,,,,,,
,,,1931," 274,259 ","+49,806    ",+22.19          ," 137,887 "," 136,372 ",,,,,,,,,,
,,,1941," 327,053 ","+52,794    ",+19.25          ," 164,939 "," 162,114 ",,,,,,,,,,
,,,1951," 355,319 ","+28,266    ",+8.64          ," 177,271 "," 178,048 ",,,,,,,,,,
,,,1961," 413,188 ","+57,869    ",+16.29          ," 207,214 "," 205,974 ",,,,,,,,,,
,,,1971," 493,874 ","+80,686    ",+19.53          ," 252,064 "," 241,810 ",,,,,,,,,,
,,,1981," 560,359 ","+66,485    ",+13.46          ," 286,992 "," 273,367 ",,,,,,,,,,
,,,1991," 707,175 ","+146,816    ",+26.20          ," 364,336 "," 342,839 ",,,,,,,,,,
,,,2001," 848,850 ","+141,675    ",+20.03          ," 435,339 "," 413,511 ",,,,,,,,,,
,,,2011," 1,065,056 ","+216,206    ",+25.47          ," 544,411 "," 520,645 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,       Note :-  Districts formed after the 2001Census are printed in italics.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
