,,A-2: DECADAL VARIATION IN POPULATION SINCE 1901,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding Census,,Males,Females,,
Code,Code,,,,Absolute,Percentage,,,,
,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,
,,,1941,"884,210","+138,892    ",+18.64    ,"452,045","432,165",,
,,,1951,"1,047,522","+163,312    ",+18.47    ,"544,748","502,774",,
,,,1961,"1,241,210","+193,688    ",+18.49    ,"648,226","592,984",,
,,,1971,"1,514,420","+273,210    ",+22.01    ,"803,133","711,287",,
,,,1981,"1,919,746","+405,326    ",+26.76    ,"1,015,498","904,248",,
,,,1991,"2,508,110","+588,364    ",+30.65    ,"1,326,761","1,181,349",,
,,,2001,"3,138,671","+630,561    ",+25.14    ,"1,649,187","1,489,484",,
,,,2011," 3,676,841 ","+538,170    ",+17.15    ," 1,921,857 "," 1,754,984 ",,
,,,,,,,,,,
09,198,Sant Ravidas Nagar (Bhadohi),1901,"252,866",-,-,"126,386","126,480",,
,,,1911,"254,175","+1,309    ",+0.52    ,"127,474","126,701",,
,,,1921,"258,180","+4,005    ",+1.58    ,"131,333","126,847",,
,,,1931,"276,399","+18,219    ",+7.06    ,"141,227","135,172",,
,,,1941,"327,907","+51,508    ",+18.64    ,"167,639","160,268",,
,,,1951,"388,471","+60,564    ",+18.47    ,"192,120","196,351",,
,,,1961,"464,317","+75,846    ",+19.52    ,"227,391","236,926",,
,,,1971,"557,307","+92,990    ",+20.03    ,"283,573","273,734",,
,,,1981,"780,014","+222,707    ",+39.96    ,"405,978","374,036",,
,,,1991,"1,077,633","+297,619    ",+38.16    ,"568,415","509,218",,
,,,2001,"1,353,705","+276,072    ",+25.62    ,"705,997","647,708",,
,,,2011," 1,578,213 ","+224,508    ",+16.58    ," 807,099 "," 771,114 ",,
,,,,,,,,,,
09,199,Mirzapur,1901,"488,998",-,-,"239,002","249,996",,
,,,1911,"483,880","-5,118",-1.05,"239,094","244,786",,
,,,1921,"483,470",-410,-0.08,"241,337","242,133",,
,,,1931,"526,344","+42,874    ",+8.87    ,"263,246","263,098",,
,,,1941,"600,806","+74,462    ",+14.15    ,"300,034","300,772",,
,,,1951,"679,171","+78,365    ",+13.04    ,"342,108","337,063",,
,,,1961,"803,784","+124,613    ",+18.35    ,"409,596","394,188",,
,,,1971,"960,495","+156,711    ",+19.50    ,"502,129","458,366",,
,,,1981,"1,238,432","+277,937    ",+28.94    ,"652,820","585,612",,
,,,1991,"1,627,970","+389,538    ",+31.45    ,"864,385","763,585",,
,,,2001,"2,074,709","+446,739    ",+27.44    ,"1,093,849","980,860",,
,,,2011," 2,496,970 ","+422,261    ",+20.35    ," 1,312,302 "," 1,184,668 ",,
,,,,,,,,,,
09,200,Sonbhadra,1901,"241,964",-,-,"118,402","123,562",,
,,,1911,"239,431","-2,533",-1.05,"118,449","120,982",,
,,,1921,"239,230",-201,-0.08,"119,560","119,670",,
,,,1931,"260,445","+21,215    ",+8.87    ,"130,412","130,033",,
,,,1941,"297,288","+36,843    ",+14.15    ,"148,638","148,650",,
,,,1951,"336,065","+38,777    ",+13.04    ,"170,951","165,114",,
,,,1961,"443,174","+107,109    ",+31.87    ,"233,299","209,875",,
,,,1971,"580,593","+137,419    ",+31.01    ,"307,556","273,037",,
,,,1981,"800,717","+220,124    ",+37.91    ,"427,032","373,685",,
