,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,
State,District,State/District,Census,Persons,Variation since the preceding census ,,Males,Females,,,,,
Code,Code,, Year,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,
29,582,Chikkaballapura ,1901," 332,421 ",                   ----,                      ----," 167,782 "," 164,639 ",,,,,
,,,1911," 352,424 ","+20,003    ",+6.02          ," 177,715 "," 174,709 ",,,,,
,,,1921," 357,812 ","+5,388    ",+1.53          ," 182,450 "," 175,362 ",,,,,
,,,1931," 380,912 ","+23,100    ",+6.46          ," 194,958 "," 185,954 ",,,,,
,,,1941," 417,371 ","+36,459    ",+9.57          ," 214,239 "," 203,132 ",,,,,
,,,1951," 479,068 ","+61,697    ",+14.78          ," 245,316 "," 233,752 ",,,,,
,,,1961," 568,322 ","+89,254    ",+18.63          ," 290,444 "," 277,878 ",,,,,
,,,1971," 690,083 ","+121,761    ",+21.42          ," 352,925 "," 337,158 ",,,,,
,,,1981," 861,098 ","+171,015    ",+24.78          ," 438,477 "," 422,621 ",,,,,
,,,1991," 1,005,031 ","+143,933    ",+16.72          ," 513,886 "," 491,145 ",,,,,
,,,2001," 1,149,007 ","+143,976    ",+14.33          ," 584,516 "," 564,491 ",,,,,
,,,2011," 1,255,104 ","+106,097    ",+9.23          ," 636,437 "," 618,667 ",,,,,
,,,,,,,,,,,,,
29,583,Bangalore Rural ,1901," 226,341 ",                   ----,                      ----," 113,563 "," 112,778 ",,,,,
,,,1911," 238,293 ","+11,952    ",+5.28          ," 120,326 "," 117,967 ",,,,,
,,,1921," 238,783 ",+490    ,+.21          ," 121,570 "," 117,213 ",,,,,
,,,1931," 262,885 ","+24,102    ",+10.09          ," 133,938 "," 128,947 ",,,,,
,,,1941," 295,399 ","+32,514    ",+12.37          ," 150,603 "," 144,796 ",,,,,
,,,1951," 358,106 ","+62,707    ",+21.23          ," 181,168 "," 176,938 ",,,,,
,,,1961," 406,828 ","+48,722    ",+13.61          ," 206,407 "," 200,421 ",,,,,
,,,1971," 484,947 ","+78,119    ",+19.20          ," 246,981 "," 237,966 ",,,,,
,,,1981," 608,535 ","+123,588    ",+25.48          ," 309,314 "," 299,221 ",,,,,
,,,1991," 717,525 ","+108,990    ",+17.91          ," 368,364 "," 349,161 ",,,,,
,,,2001," 850,968 ","+133,443    ",+18.60          ," 437,489 "," 413,479 ",,,,,
