,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 250,260 ","-10,392 ",-3.99 ," 131,753 "," 118,507 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,262,Mokokchung,1901," 20,311 ", -, -," 10,295 "," 10,016 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 29,188 ","+8,877    ",+43.71          ," 13,955 "," 15,233 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 32,437 ","+3,249    ",+11.13          ," 15,694 "," 16,743 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 36,870 ","+4,433    ",+13.67          ," 18,044 "," 18,826 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 42,093 ","+5,223    ",+14.17          ," 20,484 "," 21,609 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1951," 49,965 ","+7,872    ",+18.70          ," 24,527 "," 25,438 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1961," 58,352 ","+8,387    ",+16.79          ," 29,555 "," 28,797 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1971," 82,562 ","+24,210    ",+41.49          ," 45,006 "," 37,556 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1981," 103,925 ","+21,363    ",+25.88          ," 54,512 "," 49,413 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1991," 158,374 ","+54,449    ",+52.39          ," 82,823 "," 75,551 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2001," 232,085 ","+73,711    ",+46.54          ," 120,929 "," 111,156 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,2011," 194,622 ","-37,463",-16.14," 101,092 "," 93,530 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,263,Zunheboto,1901," 16,615 ", -, -," 8,422 "," 8,193 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1911," 24,057 ","+7,442    ",+44.79          ," 11,708 "," 12,349 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1921," 26,337 ","+2,280    ",+9.48          ," 12,911 "," 13,426 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1931," 29,840 ","+3,503    ",+13.30          ," 14,721 "," 15,119 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,1941," 33,223 ","+3,383    ",+11.34          ," 16,258 "," 16,965 ",,,,,,,,,,,,,,,,,,,,,,,,
