,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,
,,,2011," 1,706,352 ","+303,956    ",+21.67          ," 887,977 "," 818,375 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,233,Kaimur (Bhabua),1901,"317,384",-,-,"151,448","165,936",,,,,,,,,,
,,,1911,"301,646","-15,738 ",-4.96 ,"146,322","155,324",,,,,,,,,,
,,,1921,"293,753","-7,893 ",-2.62 ,"144,799","148,954",,,,,,,,,,
,,,1931,"322,778","+29,025    ",+9.88          ,"161,776","161,002",,,,,,,,,,
,,,1941,"377,028","+54,250    ",+16.81          ,"190,362","186,666",,,,,,,,,,
,,,1951,"435,283","+58,255    ",+15.45          ,"221,740","213,543",,,,,,,,,,
,,,1961,"526,251","+90,968    ",+20.90          ,"266,312","259,939",,,,,,,,,,
,,,1971,"656,905","+130,654    ",+24.83          ,"339,999","316,906",,,,,,,,,,
,,,1981,"783,045","+126,140    ",+19.20          ,"410,650","372,395",,,,,,,,,,
,,,1991,"972,949","+189,904    ",+24.25          ,"516,346","456,603",,,,,,,,,,
,,,2001,"1,275,579","+302,630    ",+31.10          ,"670,620","604,959",,,,,,,,,,
,,,2011," 1,626,384 ","+350,805    ",+27.50          ," 847,006 "," 779,378 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,234,Rohtas,1901,"606,016",-,-,"289,176","316,840",,,,,,,,,,
,,,1911,"575,964","-30,052 ",-4.96 ,"279,388","296,576",,,,,,,,,,
,,,1921,"560,894","-15,070 ",-2.62 ,"276,479","284,415",,,,,,,,,,
,,,1931,"616,315","+55,421    ",+9.88          ,"308,897","307,418",,,,,,,,,,
,,,1941,"719,901","+103,586    ",+16.81          ,"363,478","356,423",,,,,,,,,,
,,,1951,"831,133","+111,232    ",+15.45          ,"425,107","406,026",,,,,,,,,,
,,,1961,"1,024,133","+193,000    ",+23.22          ,"522,756","501,377",,,,,,,,,,
,,,1971,"1,286,983","+262,850    ",+25.67          ,"668,831","618,152",,,,,,,,,,
