,,  A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,
State,District,State/District,Census Year,Persons,Variation since the preceding census ,,Males,Females,,,,,,,,,,,
Code,Code,,,,,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
,,,1941," 215,970 ","+23,260    ",+12.07          ," 113,390 "," 102,580 ",,,,,,,,,,,
,,,1951," 218,282 ","+2,312    ",+1.07          ," 113,142 "," 105,140 ",,,,,,,,,,,
,,,1961," 277,795 ","+59,513    ",+27.26          ," 145,405 "," 132,390 ",,,,,,,,,,,
,,,1971," 357,456 ","+79,661    ",+28.68          ," 189,428 "," 168,028 ",,,,,,,,,,,
,,,1981," 444,551 ","+87,095    ",+24.37          ," 236,066 "," 208,485 ",,,,,,,,,,,
,,,1991," 559,257 ","+114,706    ",+25.80          ," 298,505 "," 260,752 ",,,,,,,,,,,
,,,2001," 688,940 ","+129,683    ",+23.19          ," 366,632 "," 322,308 ",,,,,,,,,,,
,,,2011," 845,071 ","+156,131    ",+22.66          ," 443,837 "," 401,234 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,460,Shahdol,1901," 184,279 ",-,-," 92,075 "," 92,204 ",,,,,,,,,,,
,,,1911," 210,750 ","+26,471    ",+14.36          ," 104,527 "," 106,223 ",,,,,,,,,,,
,,,1921," 195,760 ","-14,990 ",-7.11 ," 97,967 "," 97,793 ",,,,,,,,,,,
,,,1931," 235,883 ","+40,123    ",+20.50          ," 118,246 "," 117,637 ",,,,,,,,,,,
,,,1941," 269,448 ","+33,565    ",+14.23          ," 135,610 "," 133,838 ",,,,,,,,,,,
,,,1951," 294,797 ","+25,349    ",+9.41          ," 150,423 "," 144,374 ",,,,,,,,,,,
,,,1961," 378,636 ","+83,839    ",+28.44          ," 193,560 "," 185,076 ",,,,,,,,,,,
,,,1971," 476,735 ","+98,099    ",+25.91          ," 245,317 "," 231,418 ",,,,,,,,,,,
,,,1981," 607,061 ","+130,326    ",+27.34          ," 313,400 "," 293,661 ",,,,,,,,,,,
,,,1991," 766,980 ","+159,919    ",+26.34          ," 396,121 "," 370,859 ",,,,,,,,,,,
,,,2001," 908,148 ","+141,168    ",+18.41          ," 464,784 "," 443,364 ",,,,,,,,,,,
,,,2011," 1,066,063 ","+157,915    ",+17.39          ," 540,021 "," 526,042 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,461,Anuppur,1901," 128,297 ",-,-," 64,104 "," 64,193 ",,,,,,,,,,,
,,,1911," 146,726 ","+18,429    ",+14.36          ," 72,773 "," 73,953 ",,,,,,,,,,,
,,,1921," 136,290 ","-10,436 ",-7.11 ," 68,206 "," 68,084 ",,,,,,,,,,,
,,,1931," 164,224 ","+27,934    ",+20.50          ," 82,324 "," 81,900 ",,,,,,,,,,,
,,,1941," 187,591 ","+23,367    ",+14.23          ," 94,413 "," 93,178 ",,,,,,,,,,,
,,,1951," 205,240 ","+17,649    ",+9.41          ," 103,474 "," 101,766 ",,,,,,,,,,,
,,,1961," 249,115 ","+43,875    ",+21.38          ," 126,158 "," 122,957 ",,,,,,,,,,,
,,,1971," 310,763 ","+61,648    ",+24.75          ," 157,925 "," 152,838 ",,,,,,,,,,,
,,,1981," 418,833 ","+108,070    ",+34.78          ," 214,419 "," 204,414 ",,,,,,,,,,,
